geo_id,latitude,longitude
245,35.5769,-82.6099
246,35.059,-97.4845
247,38.0111,-121.817
248,37.3438,-121.838
249,27.9572,-82.4829
250,41.9169,-87.7498
251,42.302,-71.0681
252,30.0435,-89.9742
253,64.8284,-147.715
254,33.5293,-86.8591
255,42.0755,-71.0225
256,42.6856,-90.1188
257,33.8673,-117.922
258,32.3579,-86.344
259,41.8726,-87.8743
260,35.8369,-80.2535
261,41.095,-81.5399
262,30.1641,-85.6397
263,38.0533,-84.549
264,38.8537,-76.9856
265,36.1269,-86.7091
266,42.911,-78.8177
267,40.3129,-74.0697
268,37.7293,-122.19
269,41.8919,-87.7113
270,32.3354,-90.8903
271,39.7568,-84.2069
272,33.9647,-118.177
273,36.6992,-79.7587
274,33.4516,-88.77
275,38.7039,-90.2529
276,40.8142,-73.9144
277,33.4619,-86.9789
278,33.6404,-112.057
279,41.5208,-81.5231
280,47.6617,-122.299
281,37.4895,-77.4711
282,30.5062,-91.1662
283,29.599,-90.734
284,41.6809,-86.1534
285,43.1015,-89.2924
286,42.8846,-78.8765
287,36.0848,-94.196
288,35.6149,-77.3668
289,42.5871,-87.8309
290,34.5795,-87.0206
291,40.6395,-74.0764
292,38.5071,-90.0362
293,26.7712,-80.075
294,37.7926,-122.245
295,42.3355,-71.092
296,38.0675,-84.5071
297,37.4963,-121.948
298,34.0035,-118.309
299,41.6394,-87.4795
300,42.2858,-71.0963
301,33.7742,-91.4727
302,30.4381,-87.2625
303,32.4864,-114.642
304,34.0053,-81.8053
305,36.1341,-79.7896
306,39.7633,-86.1129
307,41.7649,-72.7072
308,34.779,-91.904
309,33.9524,-118.183
310,40.6671,-75.3184
311,42.2397,-89.0289
312,42.4614,-70.9556
313,40.546,-74.2035
314,32.8716,-117.203
315,41.6103,-87.5252
316,34.7915,-92.2682
317,41.7941,-87.6257
318,30.8743,-90.5108
319,41.7384,-87.625
320,26.5687,-80.1035
321,29.8946,-90.0702
322,34.0866,-117.924
323,30.7129,-88.1208
324,36.0609,-95.7773
325,42.0989,-72.5777
326,39.4856,-85.1969
327,39.563,-105.083
